"Method","Path","Description","OperationId"
"get","/v1/alerts",,"getAlertAll"
"get","/v1/alerts/{alertIdentifier}",,"getAlert"
"post","/v1/alerts/{alertIdentifier}/dismiss",,"removeAlert"
"post","/v1/alerts/{alertIdentifier}/undismiss",,"resetAlert"
"get","/v1/alerts/levels",,"getAlertLevelAll"
"get","/v1/alerts/entities",,"getAlertEntityAll"
"get","/v1/alerts/helpidentifiers",,"getAlertHelpIdAll"
"get","/v1/datastores",,"getDatastoreAll"
"get","/v1/datastores/{datastoreIdentifier}",,"getDatastore"
"get","/v1/encryptionDetection/suspected/volumes",,"suspectedVolumes"
"get","/v1/encryptionDetection/suspected/vms",,"suspectedVms"
"get","/v1/encryptionDetection/suspected/vpgs",,"suspectedVpgs"
"get","/v1/encryptionDetection/metrics/volumes",,"metricsVolumes"
"get","/v1/encryptionDetection/metrics/vms",,"metricsVms"
"get","/v1/encryptionDetection/metrics/vpgs",,"metricsVpgs"
"post","/v1/encryptionDetection/dismissEvent",,"dismissEvent"
"get","/v1/encryptionDetection/state",,"encryptionDetectionEnabled"
"post","/v1/encryptionDetection/state",,"encryptionDetectionEnabled"
"get","/v1/events",,"getEventAll"
"get","/v1/events/{eventIdentifier}",,"getEvent"
"get","/v1/events/types",,"getEventTypeAll"
"get","/v1/events/entities",,"getEventEntityAll"
"get","/v1/events/categories",,"getEventCategoryAll"
"post","/v1/vpgSettings/exportedSettings/{timeStamp}",,"getExportedSettings"
"post","/v1/vpgSettings/exportSettings",,"exportSettings"
"get","/v1/vpgSettings/exportedSettings/{timeStamp}/vpgsinfo",,"getExportedSettingsVpgs"
"get","/v1/vpgSettings/exportedSettings",,"getExportedSettingsInfo"
"post","/v1/vpgSettings/import",,"importVpg"
"get","/v1/ltr/catalog/vms",,"getLtrCatalogVmAll"
"get","/v1/ltr/catalog/fullretentionsets",,"GetLtrCatalogFullRetentionSets"
"get","/v1/ltr/catalog/fullretentionsets/{retentionSetIdentifier}/incrementals",,"GetLtrCatalogIncrementalsOfRetentionSet"
"post","/v1/ltr/catalog/deleteretentionsets",,"DeleteLtrCatalogRetentionSets"
"get","/v1/ltr/catalog/vms/{vmIdentifier}/retentionsets",,"GetLtrCatalogVmRetentionSets"
"get","/v1/ltr/catalog/vms/{vmIdentifier}/retentionsets/{retentionSetIdentifier}/settings",,"GetLtrCatalogVmOriginalSettingsForRetentionSet"
"post","/v1/ltr/restore/vm",,"StartLtrRestoreVm"
"get","/v1/ltr/health/vpgs",,"getLtrVpgHealthAll"
"post","/v1/ltr/vpgs/{vpgIdentifier}/retentionstart",,"RetentionStart"
"post","/v1/ltr/vpgs/{vpgIdentifier}/retentionabort",,"RetentionAbort"
"get","/v1/ltr/repositories",,"getAllRepositories"
"post","/v1/ltr/repositories",,"newRepository"
"put","/v1/ltr/repositories/{repositoryIdentifier}",,"editRepository"
"delete","/v1/ltr/repositories/{repositoryIdentifier}",,"removeRepository"
"get","/v1/ltr/repositories/{repositoryId}",,"getRepositoryById"
"get","/v1/flrs",,"getFlrAll"
"post","/v1/flrs",,"mountFlr"
"get","/v1/flrs/{flrSessionIdentifier}",,"getFlr"
"delete","/v1/flrs/{flrSessionIdentifier}",,"dismountFlr"
"post","/v1/flrs/{flrSessionIdentifier}/browse",,"getFlrPathInfo"
"post","/v1/flrs/{flrSessionIdentifier}/download",,"getFlrDownload"
"get","/v1/license",,"getLicense"
"put","/v1/license",,"setLicense"
"delete","/v1/license",,"removeLicense"
"get","/v1/localsite",,"getLocalSiteAll"
"get","/v1/localsite/pairingstatuses",,"getLocalSitePairingStatusAll"
"post","/v1/localsite/billing/sendUsage",,"sendLocalSiteBillingUsageData"
"get","/v1/localsite/settings/loginBanner",,"getLocalSiteLoginBanner"
"put","/v1/localsite/settings/loginBanner",,"editLocalSiteLoginBanner"
"get","/v1/peersites",,"getPeerAll"
"post","/v1/peersites",,"startPair"
"get","/v1/peersites/{siteIdentifier}",,"getPeer"
"delete","/v1/peersites/{siteIdentifier}",,"startUnpair"
"get","/v1/peersites/pairingstatuses",,"getPeerStatusAll"
"post","/v1/peersites/generatetoken",,"getPairingToken"
"get","/v1/reports/recovery",,"getRecoveryReportAll"
"get","/v1/reports/recovery/{recoveryOperationIdentifier}",,"getRecoveryReport"
"get","/v1/reports/resources",,"getResourceReportAll"
"get","/v1/recoveryScripts/output/files",,"downloadFileFromOutputDirectory"
"delete","/v1/recoveryScripts/output/files",,"deleteOutputFile"
